copybook_id,coverage_part,coverage_name,state,kind,path
GPALP001,PR,Premises and Operations Liability,AL,POLICY-RECORD,copybooks/PR/gpalp001.cpy
GPALY001,PR,Premises and Operations Liability,AL,PARTY-RECORD,copybooks/PR/gpaly001.cpy
GPALC001,PR,Premises and Operations Liability,AL,COMMAREA,copybooks/PR/gpalc001.cpy
GPALR001,PR,Premises and Operations Liability,AL,RATING-FACTORS,copybooks/PR/gpalr001.cpy
GPALE001,PR,Premises and Operations Liability,AL,ENDORSEMENT,copybooks/PR/gpale001.cpy
GPALM001,PR,Premises and Operations Liability,AL,ERROR-MSG,copybooks/PR/gpalm001.cpy
GPAKP001,PR,Premises and Operations Liability,AK,POLICY-RECORD,copybooks/PR/gpakp001.cpy
GPAKY001,PR,Premises and Operations Liability,AK,PARTY-RECORD,copybooks/PR/gpaky001.cpy
GPAKC001,PR,Premises and Operations Liability,AK,COMMAREA,copybooks/PR/gpakc001.cpy
GPAKR001,PR,Premises and Operations Liability,AK,RATING-FACTORS,copybooks/PR/gpakr001.cpy
GPAKE001,PR,Premises and Operations Liability,AK,ENDORSEMENT,copybooks/PR/gpake001.cpy
GPAKM001,PR,Premises and Operations Liability,AK,ERROR-MSG,copybooks/PR/gpakm001.cpy
GPAZP001,PR,Premises and Operations Liability,AZ,POLICY-RECORD,copybooks/PR/gpazp001.cpy
GPAZY001,PR,Premises and Operations Liability,AZ,PARTY-RECORD,copybooks/PR/gpazy001.cpy
GPAZC001,PR,Premises and Operations Liability,AZ,COMMAREA,copybooks/PR/gpazc001.cpy
GPAZR001,PR,Premises and Operations Liability,AZ,RATING-FACTORS,copybooks/PR/gpazr001.cpy
GPAZE001,PR,Premises and Operations Liability,AZ,ENDORSEMENT,copybooks/PR/gpaze001.cpy
GPAZM001,PR,Premises and Operations Liability,AZ,ERROR-MSG,copybooks/PR/gpazm001.cpy
GPARP001,PR,Premises and Operations Liability,AR,POLICY-RECORD,copybooks/PR/gparp001.cpy
GPARY001,PR,Premises and Operations Liability,AR,PARTY-RECORD,copybooks/PR/gpary001.cpy
GPARC001,PR,Premises and Operations Liability,AR,COMMAREA,copybooks/PR/gparc001.cpy
GPARR001,PR,Premises and Operations Liability,AR,RATING-FACTORS,copybooks/PR/gparr001.cpy
GPARE001,PR,Premises and Operations Liability,AR,ENDORSEMENT,copybooks/PR/gpare001.cpy
GPARM001,PR,Premises and Operations Liability,AR,ERROR-MSG,copybooks/PR/gparm001.cpy
GPCAP001,PR,Premises and Operations Liability,CA,POLICY-RECORD,copybooks/PR/gpcap001.cpy
GPCAY001,PR,Premises and Operations Liability,CA,PARTY-RECORD,copybooks/PR/gpcay001.cpy
GPCAC001,PR,Premises and Operations Liability,CA,COMMAREA,copybooks/PR/gpcac001.cpy
GPCAR001,PR,Premises and Operations Liability,CA,RATING-FACTORS,copybooks/PR/gpcar001.cpy
GPCAE001,PR,Premises and Operations Liability,CA,ENDORSEMENT,copybooks/PR/gpcae001.cpy
