program_id,coverage_part,coverage_name,state,operation,layer,links_to,copybooks_used,path
GPALAL01,PR,Premises and Operations Liability,AL,ADD,BUSINESS-LOGIC,GPALAD01,GPALC001,programs/PR/gpalal01.cbl
GPALAD01,PR,Premises and Operations Liability,AL,ADD,DB2-ACCESS,GPALAV01,GPALC001,programs/PR/gpalad01.cbl
GPALAV01,PR,Premises and Operations Liability,AL,ADD,VSAM-ACCESS,,GPALC001,programs/PR/gpalav01.cbl
GPALIL01,PR,Premises and Operations Liability,AL,INQUIRE,BUSINESS-LOGIC,GPALID01,GPALC001,programs/PR/gpalil01.cbl
GPALID01,PR,Premises and Operations Liability,AL,INQUIRE,DB2-ACCESS,,GPALC001,programs/PR/gpalid01.cbl
GPALIV01,PR,Premises and Operations Liability,AL,INQUIRE,VSAM-ACCESS,,GPALC001,programs/PR/gpaliv01.cbl
GPALUL01,PR,Premises and Operations Liability,AL,UPDATE,BUSINESS-LOGIC,GPALUD01,GPALC001,programs/PR/gpalul01.cbl
GPALUD01,PR,Premises and Operations Liability,AL,UPDATE,DB2-ACCESS,GPALUV01,GPALC001,programs/PR/gpalud01.cbl
GPALUV01,PR,Premises and Operations Liability,AL,UPDATE,VSAM-ACCESS,,GPALC001,programs/PR/gpaluv01.cbl
GPALDL01,PR,Premises and Operations Liability,AL,DELETE,BUSINESS-LOGIC,GPALDD01,GPALC001,programs/PR/gpaldl01.cbl
GPALDD01,PR,Premises and Operations Liability,AL,DELETE,DB2-ACCESS,GPALDV01,GPALC001,programs/PR/gpaldd01.cbl
GPALDV01,PR,Premises and Operations Liability,AL,DELETE,VSAM-ACCESS,,GPALC001,programs/PR/gpaldv01.cbl
GPALRL01,PR,Premises and Operations Liability,AL,RATE,BUSINESS-LOGIC,GPALRD01,GPALC001,programs/PR/gpalrl01.cbl
GPALRD01,PR,Premises and Operations Liability,AL,RATE,DB2-ACCESS,,GPALC001,programs/PR/gpalrd01.cbl
GPALRV01,PR,Premises and Operations Liability,AL,RATE,VSAM-ACCESS,,GPALC001,programs/PR/gpalrv01.cbl
GPAKAL01,PR,Premises and Operations Liability,AK,ADD,BUSINESS-LOGIC,GPAKAD01,GPAKC001,programs/PR/gpakal01.cbl
GPAKAD01,PR,Premises and Operations Liability,AK,ADD,DB2-ACCESS,GPAKAV01,GPAKC001,programs/PR/gpakad01.cbl
GPAKAV01,PR,Premises and Operations Liability,AK,ADD,VSAM-ACCESS,,GPAKC001,programs/PR/gpakav01.cbl
GPAKIL01,PR,Premises and Operations Liability,AK,INQUIRE,BUSINESS-LOGIC,GPAKID01,GPAKC001,programs/PR/gpakil01.cbl
GPAKID01,PR,Premises and Operations Liability,AK,INQUIRE,DB2-ACCESS,,GPAKC001,programs/PR/gpakid01.cbl
